id,civilité,nom,prenom,département,circonscription,groupe_politique,email,sites,twitter,facebook,permanence,commissions,informations
"PA840817","M.","Bruneau","Joël","Calvados","1","Libertés, Indépendants, Outre-mer et Territoires","joel.bruneau@assemblee-nationale.fr|jbruneau14@gmail.com","","","","10, Avenue de l'Hippodrome 14000 Caen - Tél: 02 31 71 03 29","Membre  de la Commission des affaires culturelles et de l'éducation | ",""
"PA722000","M.","Buchou","Stéphane","Vendée","3","Ensemble pour la République","stephane.buchou@en-marche.fr|stephane.buchou@assemblee-nationale.fr","","@StephaneBuchou","Buchouassembleenationale","10, Rue de Saint-Jean 85690 Notre-Dame-de-Monts","Membre  de la Commission des affaires économiques | ",""
"PA794798","Mme","Buffet","Françoise","Bas-Rhin","4","Ensemble pour la République","francoise.buffet@assemblee-nationale.fr","francoisebuffet.fr","","","4, Rue des Vosges 67205 Oberhausbergen","Membre  de la Commission des affaires économiques | ",""
"PA793134","M.","Buisson","Jérôme","Ain","4","Rassemblement National","jerome.buisson@assemblee-nationale.fr","","@jerome_buisson","","1 Bis, Avenue Jean Jaurès 01000 Bourg-en-Bresse - Tél: 0481510499","Membre  de la Commission des affaires étrangères | ",""
"PA841023","M.","Cadalen","Pierre-Yves","Finistère","2","La France insoumise - Nouveau Front Populaire","pierre-yves.cadalen@assemblee-nationale.fr","pierreyvescadalen.fr","@pycadalen","Pierre-Yves Cadalen","195, Rue Jean Jaurès 29200 Brest","Membre  de la Commission des affaires étrangères | ",""
"PA795762","M.","Califer","Elie","Guadeloupe","4","Socialistes et apparentés","elie.califer@assemblee-nationale.fr","","","","74, Rue Robert Tamas 97120 Saint-Claude","Membre  de la Commission du développement durable et de l'aménagement du territoire | ",""
"PA721750","Mme","Calvez","Céline","Hauts-de-Seine","5","Ensemble pour la République","celine.calvez@assemblee-nationale.fr","celine-calvez.fr","@celinecalvez","CelineCalvez","34, Rue Henri Barbusse 92110 Clichy - Tél: 0142700027","Vice-présidente  de la Commission des affaires culturelles et de l'éducation | ",""
"PA608264","Mme","Capdevielle","Colette","Pyrénées-Atlantiques","5","Socialistes et apparentés","colette.capdevielle@assemblee-nationale.fr","colette-capdevielle.fr","@c_capdevielle","","7, Chemin de la Marouette Espace Toki Lana – Bâtiment Sud 64100 Bayonne - Tél: 06 84 46 36 33","Secrétaire  de la Commission des lois constitutionnelles, de la législation et de l'administration générale de la République | ",""
"PA795330","Mme","Caroit","Eléonore","Français établis hors de France","2","Ensemble pour la République","eleonore.caroit@assemblee-nationale.fr","","@CaroitEleonore","eleonore.caroit.3","","Vice-présidente  de la Commission des affaires étrangères | ",""
"PA796090","M.","Caron","Aymeric","Paris","18","La France insoumise - Nouveau Front Populaire","aymeric.caron@assemblee-nationale.fr","","@CaronAymericoff","aymeric.caron.5","15, Rue Hermel 75018 Paris","Membre  de la Commission des affaires culturelles et de l'éducation | ",""
"PA793912","M.","Carrière","Sylvain","Hérault","8","La France insoumise - Nouveau Front Populaire","sylvain.carriere@assemblee-nationale.fr","","@Sylv20CARRIERE","DeputeCarriere","23, Avenue Frédéric Mistral 34110 Frontignan - Tél: 0411271194","Membre  de la Commission du développement durable et de l'aménagement du territoire | ",""
"PA719138","M.","Castellani","Michel","Haute-Corse","1","Libertés, Indépendants, Outre-mer et Territoires","michel.castellani@assemblee-nationale.fr","","@Castellani_","","34, Boulevard Paoli 20200 Bastia","Membre  de la Commission des finances, de l'économie générale et du contrôle budgétaire | ",""
"PA840075","M.","Casterman","Eddy","Aisne","3","Rassemblement National","eddy.casterman@assemblee-nationale.fr","","","","15, Rue Charles de Gaulle 02500 Hirson - Tél: 03.23.91.04.98","Membre  de la Commission des affaires sociales | ",""
"PA794554","M.","Castiglione","Salvatore","Nord","21","Libertés, Indépendants, Outre-mer et Territoires","salvatore.castiglione@assemblee-nationale.fr","","","","7, Rue du sénateur Girard 59300 Valenciennes","Membre  de la Commission des affaires culturelles et de l'éducation | ",""
"PA795868","M.","Castor","Jean-Victor","Guyane","1","Gauche Démocrate et Républicaine","jean-victor.castor@assemblee-nationale.fr","","","","","Membre  de la Commission du développement durable et de l'aménagement du territoire | ",""
"PA842187","Mme","Cathala","Gabrielle","Val-d'Oise","6","La France insoumise - Nouveau Front Populaire","gabrielle.cathala@assemblee-nationale.fr","","@GabrielleCthl","","","Membre  de la Commission des lois constitutionnelles, de la législation et de l'administration générale de la République | ",""
"PA842311","M.","Caure","Vincent","Français établis hors de France","3","Ensemble pour la République","vincent.caure@assemblee-nationale.fr","vincentcaure.fr","@vincent_caure","share/15ssfLbwEP","","Membre  de la Commission des lois constitutionnelles, de la législation et de l'administration générale de la République | ",""
"PA719922","M.","Causse","Lionel","Landes","2","Ensemble pour la République","lionel.causse@assemblee-nationale.fr","www.lionel-causse.fr","@DeputeCausse","lionelcausse2017","50, Avenue Georges Clémenceau Résidence le Clos d'Acqs 40100 Dax","Membre  de la Commission du développement durable et de l'aménagement du territoire | ",""
"PA793940","M.","Cazenave","Thomas","Gironde","1","Ensemble pour la République","thomas.cazenave@assemblee-nationale.fr","","@T_Cazenave","t.cazenave33","28, Cours du Maréchal Foch 33000 Bordeaux","Membre  de la Commission des finances, de l'économie générale et du contrôle budgétaire | ",""
"PA795864","M.","Cazeneuve","Pierre","Hauts-de-Seine","7","Ensemble pour la République","pierre.cazeneuve@assemblee-nationale.fr","www.pierrecazeneuve.fr","@PierreCazeneuve","","30, Rue de la Libération 92500 Rueil-Malmaison","Membre  de la Commission du développement durable et de l'aménagement du territoire | ",""
"PA719472","M.","Cazeneuve","Jean-René","Gers","1","Ensemble pour la République","jean-rene.cazeneuve@assemblee-nationale.fr","jrcazeneuve.fr","@jrcazeneuve","jeanrenecazeneuve","7, Rue d'Etigny 32000 Auch","Membre  de la Commission des finances, de l'économie générale et du contrôle budgétaire | ",""
"PA841047","M.","Ceccoli","François-Xavier","Haute-Corse","2","Droite Républicaine","francois-xavier.ceccoli@assemblee-nationale.fr","","","","","Membre  de la Commission du développement durable et de l'aménagement du territoire | ",""
"PA842037","M.","Cernon","Bérenger","Essonne","8","La France insoumise - Nouveau Front Populaire","berenger.cernon@assemblee-nationale.fr","berenger-cernon.fr","@slappy_w","","","Membre  de la Commission du développement durable et de l'aménagement du territoire | ",""
"PA840701","M.","Chaix","Bernard","Alpes-Maritimes","3","UDR","bernard.chaix@assemblee-nationale.fr","","","","","Membre  de la Commission de la défense nationale et des forces armées | ",""
"PA794008","Mme","Chatelain","Cyrielle","Isère","2","Écologiste et Social","cyrielle.chatelain@assemblee-nationale.fr","","","","17, Rue du maquis de l'Oisans 38130 Echirolles","Membre  de la Commission de la défense nationale et des forces armées | ",""
"PA840721","M.","Chavent","Marc","Ain","5","UDR","marc.chavent@assemblee-nationale.fr","","","","","Membre  de la Commission du développement durable et de l'aménagement du territoire | ",""
"PA795908","M.","Chenevard","Yannick","Var","1","Ensemble pour la République","yannick.chenevard@assemblee-nationale.fr","yannickchenevard.fr","","","9, Rue Corneille 83100 Toulon","Membre  de la Commission de la défense nationale et des forces armées | ",""
"PA720468","M.","Chenu","Sébastien","Nord","19","Rassemblement National","sebastien.chenu@assemblee-nationale.fr","","@sebchenu","chenu.sebastien","27, Rue Maréchal Leclerc 59220 Denain - Tél: 03 27 21 87 88","Membre  de la Commission des affaires étrangères | ",""
"PA791812","Mme","Chikirou","Sophia","Paris","6","La France insoumise - Nouveau Front Populaire","sophia.chikirou@assemblee-nationale.fr","sophia-chikirou.fr","@sochik75","","81, Rue Jean-Pierre Timbaud 75011 Paris","Membre  de la Commission des affaires étrangères | ",""
"PA642868","M.","Christophe","Paul","Nord","14","Horizons & Indépendants","paul.christophe@assemblee-nationale.fr","paulchristophe.fr/","@christophe_p","Paul-Christophe-Député-du-Nord-1387587231318843","","Membre  de la Commission des lois constitutionnelles, de la législation et de l'administration générale de la République | ",""
"PA840903","M.","Christophle","Paul","Drôme","1","Socialistes et apparentés","paul.christophle@assemblee-nationale.fr","","@x.com/paulchristophle","profile.php?id=61552378661850","10, Place des Clercs 26000 Valence - Tél: 06 84 22 78 44","Membre  de la Commission des lois constitutionnelles, de la législation et de l'administration générale de la République | ",""
"PA794198","M.","Chudeau","Roger","Loir-et-Cher","2","Rassemblement National","roger.chudeau@assemblee-nationale.fr","","@ChudeauR","RogerChudeau4102","3, Rue du 8 mai 1945 41300 Salbris","Membre  de la Commission des affaires culturelles et de l'éducation | ",""
"PA330240","M.","Ciotti","Éric","Alpes-Maritimes","1","UDR","eric.ciotti@assemblee-nationale.fr","www.eric-ciotti.com","@ECiotti","ECIOTTI","15, Quai des Deux Emmanuel 06300 Nice - Tél: 04 92 14 59 00","Membre  de la Commission des finances, de l'économie générale et du contrôle budgétaire | ",""
"PA840159","M.","Clavet","Bruno","Pas-de-Calais","3","Rassemblement National","bruno.clavet@assemblee-nationale.fr","","@BrunoClavet","bruno clavet","108, Boulevard Émile Basly 62300 Lens - Tél: 03.21.78.13.41","Membre  de la Commission des affaires culturelles et de l'éducation | ",""
"PA793736","M.","Clouet","Hadrien","Haute-Garonne","1","La France insoumise - Nouveau Front Populaire","hadrien.clouet@assemblee-nationale.fr","","@HadrienClouet","","21, Rue de la Chaîne 31000 Toulouse","Membre  de la Commission du développement durable et de l'aménagement du territoire | ",""
"PA841431","Mme","Colin-Oesterlé","Nathalie","Moselle","3","Horizons & Indépendants","nathalie.colin-oesterle@assemblee-nationale.fr","ncometz.com/","@ncolin_oesterle","www.facebook.com/nco.metz","3, Place Saint-Martin 57000 Metz - Tél: 03 87 22 78 38","Membre  de la Commission des affaires sociales | ",""
"PA719286","M.","Colombani","Paul-André","Corse-du-Sud","2","Libertés, Indépendants, Outre-mer et Territoires","paul-andre.colombani@assemblee-nationale.fr","","@pacolombani","PAcolombani","Galerie des salines 20000 Ajaccio","Membre  de la Commission des affaires sociales | ",""
"PA793548","Mme","Colombier","Caroline","Charente","3","Rassemblement National","caroline.colombier@assemblee-nationale.fr","","@CColombier_RN","","2, Rue de l'Hôpital 16700 Ruffec - Tél: 06 62 78 24 32","Membre  de la Commission de la défense nationale et des forces armées | ",""
"PA721202","M.","Coquerel","Éric","Seine-Saint-Denis","1","La France insoumise - Nouveau Front Populaire","eric.coquerel@assemblee-nationale.fr","","@ericcoquerel","eric.coquerel.1","","Membre  de la Commission des finances, de l'économie générale et du contrôle budgétaire | ",""
"PA721210","M.","Corbière","Alexis","Seine-Saint-Denis","7","Écologiste et Social","alexis.corbiere@assemblee-nationale.fr","www.alexis-corbiere.com","@alexiscorbiere","Alexiscorbiere","86, Avenue Pasteur 93100 Montreuil","Membre  de la Commission des affaires culturelles et de l'éducation | ",""
"PA718850","M.","Cordier","Pierre","Ardennes","2","Droite Républicaine","depute-cordier@orange.fr|pierre.cordier@assemblee-nationale.fr","","@CORDIERPierre08","pierre.cordier.1004","46, Avenue de Saint-Julien 08000 Charleville-Mézières - Tél: 03 24 53 14 17","Membre  de la Commission des affaires étrangères | ",""
"PA719118","M.","Cormier-Bouligeon","François","Cher","1","Ensemble pour la République","francois.cormier-bouligeon@assemblee-nationale.fr","www.francoiscormierbouligeon.fr","@FCBDeputeduCher","@francoiscormierbouligeonmajoritepresidentielle","7, Rue Jean-François Champollion 18000 Bourges - Tél: 0248160714","Membre  de la Commission de la défense nationale et des forces armées | ",""
"PA722390","Mme","Corneloup","Josiane","Saône-et-Loire","2","Droite Républicaine","josiane.corneloup@assemblee-nationale.fr|jcorneloup2circo71@outlook.fr","","","","1, Place du Champ de foire 71220 Saint-Bonnet de Joux - Tél: 09.62.52.27.17","Secrétaire  de la Commission des affaires sociales | ",""
"PA793520","M.","Cosson","Mickaël","Côtes-d'Armor","1","Les Démocrates","mickael.cosson@assemblee-nationale.fr","","","","17, Allée Marie Vaillant 22000 Saint-Brieuc","Vice-président  de la Commission du développement durable et de l'aménagement du territoire | ",""
"PA795136","M.","Coulomme","Jean-François","Savoie","4","La France insoumise - Nouveau Front Populaire","jean-francois.coulomme@assemblee-nationale.fr","jfcoulomme.fr","@jfcoulomme","Jean-François Coulomme","6-14, Faubourg Maché 73000 Chambéry - Tél: 04 79 96 20 52","Membre  de la Commission des lois constitutionnelles, de la législation et de l'administration générale de la République | ",""
"PA841295","M.","Courbon","Pierrick","Loire","1","Socialistes et apparentés","pierrick.courbon@assemblee-nationale.fr","","@pierrickcourbon","pierrickcourbon","","Membre  de la Commission des affaires culturelles et de l'éducation | ",""
"PA793716","M.","Croizier","Laurent","Doubs","1","Les Démocrates","laurent.croizier@assemblee-nationale.fr","www.laurentcroizier.fr","@CroizierLaurent","Laurent Croizier","5A, Rue Alfred de Vigny 25000 Besançon - Tél: 09.80.81.44.80","Membre  de la Commission des affaires culturelles et de l'éducation | ",""
"PA793322","Mme","D&#8217;Intorni","Christelle","Alpes-Maritimes","5","UDR","christelle.dintorni@assemblee-nationale.fr","christelle-dintorni.fr","@C_Dintorni","christelle.dintorni","474, Boulevard du Mercantour 06200 Nice","Membre  de la Commission des affaires étrangères | ",""
"PA795644","Mme","Da Conceicao Carvalho","Nathalie","Essonne","2","Rassemblement National","nathalie.daconceicaocarvalho@assemblee-nationale.fr","","@NathCarvalho91","Nathaliedaconceicaocarvalho","14, Rue Saint-Antoine 91150 Etampes - Tél: 01 81 84 07 42","Membre  de la Commission des affaires culturelles et de l'éducation | ",""
"PA332523","Mme","Dalloz","Marie-Christine","Jura","2","Droite Républicaine","marie-christine.dalloz@assemblee-nationale.fr|marie-christine.dalloz390@orange.fr","www.mcdalloz.fr/","","mariechristinedalloz","63, Rue du Collège 39200 Saint-Claude - Tél: 03 84 45 11 14","Membre  de la Commission des finances, de l'économie générale et du contrôle budgétaire | ",""
"PA719914","Mme","Darrieussecq","Geneviève","Landes","1","Les Démocrates","genevieve.darrieussecq@assemblee-nationale.fr","www.darrieussecq.net","@Darrieussecq","genevieve.darrieussecq","8, Rue Porte d'Aire 1er étage 40000 Mont-de-Marsan - Tél: 05 58 45 28 19","Membre  de la Commission de la défense nationale et des forces armées | ",""
"PA793122","M.","Daubié","Romain","Ain","2","Les Démocrates","romain.daubie@assemblee-nationale.fr","romain-daubie.fr","@romaindaubie","romain.daubie","77, Grande rue BP129 01120 MONTLUEL - Tél: 04 81 65 74 43","Membre  de la Commission des affaires économiques | ",""
"PA793452","M.","Davi","Hendrik","Bouches-du-Rhône","5","Écologiste et Social","hendrik.davi@assemblee-nationale.fr","www.hendrikdavi.fr","@hendrik_davi","hdavi13","88, Rue Sainte-Cécile (angle rue du Berceau) 13005 Marseille","Membre  de la Commission des affaires sociales | ",""
"PA1008","M.","David","Alain","Gironde","4","Socialistes et apparentés","alain.david@assemblee-nationale.fr","alain-david.com","","","7, Avenue Roger Schwob 33150 Cenon - Tél: 07 88 44 06 75","Vice-président  de la Commission des affaires étrangères | ",""
"PA942","M.","de Courson","Charles","Marne","5","Libertés, Indépendants, Outre-mer et Territoires","charles.de-courson@wanadoo.fr|charles.decourson@assemblee-nationale.fr","","","","38, Rue de la Petite-Sainte 51300 Vitry-le-François - Tél: 03 26 73 29 70","Rapporteur général  de la Commission des finances, de l'économie générale et du contrôle budgétaire | ",""
"PA841613","M.","de Fleurian","Marc","Pas-de-Calais","7","Rassemblement National","marc.defleurian@assemblee-nationale.fr","","@MarcDeFleurian","defleurianmarc?locale=fr_FR","26, Boulevard Gambetta 62100 Calais","Membre  de la Commission des affaires étrangères | ",""
"PA642988","M.","de Lépinau","Hervé","Vaucluse","3","Rassemblement National","herve.delepinau@assemblee-nationale.fr","","@H2Lepinau","CarpentrasBM","152, Boulevard Gilloux et Raymond 84200 Carpentras","Membre  de la Commission des affaires sociales | ",""
"PA842141","Mme","de Maistre","Élisabeth","Hauts-de-Seine","9","Droite Républicaine","elisabeth.demaistre@assemblee-nationale.fr","","@EMaistre","elisabeth.demaistre","","Membre  de la Commission des affaires étrangères | ",""
"PA841359","Mme","de Pélichy","Constance","Loiret","3","Libertés, Indépendants, Outre-mer et Territoires","constance.depelichy@assemblee-nationale.fr","","","Constance de Pélichy","","Membre  de la Commission du développement durable et de l'aménagement du territoire | ",""
"PA840119","Mme","Delannoy","Sandra","Nord","3","Rassemblement National","sandra.delannoy@assemblee-nationale.fr","","","","","Membre  de la Commission des affaires étrangères | ",""
"PA793394","M.","Delaporte","Arthur","Calvados","2","Socialistes et apparentés","arthur.delaporte@assemblee-nationale.fr","arthurdelaporte.fr","@arthurdelaporte","ArthurDelaporteDepute","17, Rue Paul Toutain 14000 Caen - Tél: 02 31 78 15 10","Membre  de la Commission des affaires sociales | ",""
"PA795430","M.","Delautrette","Stéphane","Haute-Vienne","2","Socialistes et apparentés","stephane.delautrette@assemblee-nationale.fr","www.stephane-delautrette.fr","@SDelautrette","profile.php?id=100009065043065","25, Rue François Chénieux 87800 Nexon - Tél: 05 55 08 14 15","Membre  de la Commission des affaires sociales | ",""
"PA793464","M.","Delogu","Sébastien","Bouches-du-Rhône","7","La France insoumise - Nouveau Front Populaire","sebastien.delogu@assemblee-nationale.fr","","@sebastiendelogu","","","Membre  de la Commission des finances, de l'économie générale et du contrôle budgétaire | ",""
"PA794982","Mme","Delpech","Julie","Sarthe","1","Ensemble pour la République","julie.delpech@assemblee-nationale.fr|cabinet.juliedelpech@gmail.com","www.julie-delpech.avecvous.fr/","@juliedelpech72","JulieDelpechSarthe","","Membre  de la Commission des affaires culturelles et de l'éducation | ",""
"PA330909","M.","Descoeur","Vincent","Cantal","1","Droite Républicaine","contact@descoeur.com|vincent.descoeur@assemblee-nationale.fr","www.descoeur.com","@VincentDescoeur","","24, Rue Paul Doumer 15000 Aurillac - Tél: 04 71 47 41 87","Membre  de la Commission du développement durable et de l'aménagement du territoire | ",""
"PA793166","M.","Dessigny","Jocelyn","Aisne","5","Rassemblement National","jocelyn.dessigny@assemblee-nationale.fr","","@JocelynDessigny","jocelyn.dessigny2984@an.fr","","Membre  de la Commission des finances, de l'économie générale et du contrôle budgétaire | ",""
"PA794042","Mme","Dezarnaud","Sylvie","Isère","7","Droite Républicaine","sylvie.dezarnaud@assemblee-nationale.fr","","","","","Membre  de la Commission des lois constitutionnelles, de la législation et de l'administration générale de la République | ",""
"PA720386","M.","Di Filippo","Fabien","Moselle","4","Droite Républicaine","fabiendifilippo@gmail.com|fabien.difilippo@assemblee-nationale.fr","","@FabienDiFilippo","DiFilippoFabien","14, Rue de la Vieille Rivière 57400 Sarrebourg - Tél: 0387257436","Membre  de la Commission des finances, de l'économie générale et du contrôle budgétaire | ",""
"PA793928","Mme","Diaz","Edwige","Gironde","11","Rassemblement National","edwige.diaz@assemblee-nationale.fr","","@diaz_edwige","DiazEdwige","","Membre  de la Commission des lois constitutionnelles, de la législation et de l'administration générale de la République | ",""
"PA841919","Mme","Diop","Dieynaba","Yvelines","9","Socialistes et apparentés","dieynaba.diop@assemblee-nationale.fr","","","","47, Rue Aristide Briand 78130 Les Mureaux","Membre  de la Commission des affaires étrangères | ",""
"PA842155","M.","Diouara","Aly","Seine-Saint-Denis","5","La France insoumise - Nouveau Front Populaire","aly.diouara@assemblee-nationale.fr","93aucoeur.fr","@AlyDiouara","","","Membre  de la Commission des affaires culturelles et de l'éducation | ",""
"PA722382","M.","Dirx","Benjamin","Saône-et-Loire","1","Ensemble pour la République","benjamin.dirx@assemblee-nationale.fr","","@BenjaminDirx","DirxBenjamin","16, Rue Lamartine 71000 Mâcon - Tél: 0385316642","Secrétaire  de la Commission des finances, de l'économie générale et du contrôle budgétaire | ",""
"PA712015","M.","Dive","Julien","Aisne","2","Droite Républicaine","julien.dive-permanence@orange.fr|julien.dive@assemblee-nationale.fr","","@juliendive","","19, Rue du Gouvernement 02100 Saint-Quentin","Membre  de la Commission des affaires économiques | ",""
"PA794762","Mme","Dogor-Such","Sandrine","Pyrénées-Orientales","3","Rassemblement National","sandrine.dogor-such@assemblee-nationale.fr","","","","5, Rue Mailly 66000 Perpignan","Membre  de la Commission des affaires sociales | ",""
"PA606573","Mme","Dombre Coste","Fanny","Hérault","3","Socialistes et apparentés","fanny.dombrecoste@assemblee-nationale.fr|fannydombrecoste2024@gmail.com","","@F_DombreCoste","dombrecoste.fanny","","Membre  de la Commission des affaires économiques | ",""
"PA793146","M.","Dragon","Nicolas","Aisne","1","Rassemblement National","nicolas.dragon@assemblee-nationale.fr","www.nicolasdragon.com","","nicolasdragon","","Membre  de la Commission des affaires étrangères | ",""
"PA720154","Mme","Dubré-Chirat","Nicole","Maine-et-Loire","6","Ensemble pour la République","nicole.dubre-chirat@assemblee-nationale.fr","nicole-dubre-chirat.fr","@NicoleDubre17","nicoledubrechirat","19, Rue Chateaugontier 49100 Angers - Tél: 02 41 43 02 07","Membre  de la Commission des affaires sociales | ",""
"PA608826","Mme","Duby-Muller","Virginie","Haute-Savoie","4","Droite Républicaine","depute@virginiedubymuller.fr|virginie.duby-muller@assemblee-nationale.fr","www.virginiedubymuller.fr","@DubyMuller","vir.muller","7, Place de la Libération BP 59 74100 Annemasse - Tél: 04 50 80 35 02","Membre  de la Commission des affaires culturelles et de l'éducation | ",""
"PA841633","M.","Dufau","Peio","Pyrénées-Atlantiques","6","Socialistes et apparentés","peio.dufau@assemblee-nationale.fr","","@Peioizate","","44, Rue Luis Mariano Bat B 64200 Biarritz","Membre  de la Commission du développement durable et de l'aménagement du territoire | ",""
"PA840135","M.","Dufosset","Alexandre","Nord","18","Rassemblement National","alexandre.dufosset@assemblee-nationale.fr","","","","10, Rue de Nice 59400 Cambrai - Tél: 03.27.74.43.80","Membre  de la Commission de la défense nationale et des forces armées | ",""
"PA795200","Mme","Dufour","Alma","Seine-Maritime","4","La France insoumise - Nouveau Front Populaire","alma.dufour@assemblee-nationale.fr","almadufour.fr","@alma_dufour","almadufour.nupes","","Membre  de la Commission de la défense nationale et des forces armées | ",""
"PA841351","M.","Duplessy","Emmanuel","Loiret","2","Écologiste et Social","emmanuel.duplessy@assemblee-nationale.fr","","@emmduplessy","","25 Bis, Rue du Faubourg Madeleine 45000 Orléans","Membre  de la Commission des lois constitutionnelles, de la législation et de l'administration générale de la République | ",""
"PA643175","Mme","Dupont","Stella","Maine-et-Loire","2","Non inscrit","stella.dupont@assemblee-nationale.fr","stelladupont.fr/","@stelladupont","stelladupont","10, Rue Félix Faure 49290 Chalonnes-sur-Loire - Tél: 02 41 17 26 02","Membre  de la Commission des affaires étrangères | ",""
"PA842073","M.","Dussausaye","Gaëtan","Vosges","2","Rassemblement National","gaetan.dussausaye@assemblee-nationale.fr","","@G_Dussausaye","G.Dussausaye","","Membre  de la Commission des affaires sociales | ",""
"PA841761","M.","Dutremble","Aurélien","Saône-et-Loire","3","Rassemblement National","aurelien.dutremble@assemblee-nationale.fr","","@A_Dutremble","Aurélien Dutremble","","Membre  de la Commission du développement durable et de l'aménagement du territoire | ",""
"PA794854","M.","Echaniz","Inaki","Pyrénées-Atlantiques","4","Socialistes et apparentés","inaki.echaniz@assemblee-nationale.fr","www.inakiechaniz.fr/","@inakiechaniz","","8, Avenue de la Gare 64400 Oloron-sainte-Marie - Tél: 0640232158","Membre  de la Commission des affaires économiques | Secrétaire de l'Assemblée nationale",""
"PA794718","Mme","Engrand","Christine","Pas-de-Calais","6","Non inscrit","christine.engrand@assemblee-nationale.fr","","","","9, Place Foch 62340 Guines - Tél: 0658415811","Membre  de la Commission des affaires étrangères | ",""
"PA795844","Mme","Erodi","Karen","Tarn","2","La France insoumise - Nouveau Front Populaire","karen.erodi@assemblee-nationale.fr","","@KarenErodi","karenerodi2022","1, Rue de Verdaussou BP 5 81300 Graulhet","Membre  de la Commission des affaires sociales | ",""
"PA607193","Mme","Errante","Sophie","Loire-Atlantique","10","Non inscrit","permanence@sophie-errante.fr|sophie.errante@assemblee-nationale.fr","","","","10, Rue du Cep 44190 Gorges","Membre  de la Commission de la défense nationale et des forces armées | ",""
"PA842195","M.","Eskenazi","Romain","Val-d'Oise","7","Socialistes et apparentés","romain.eskenazi@assemblee-nationale.fr","www.romain-eskenazi.fr","@Romain Eskenazi","Romain Eskenazi","","Membre  de la Commission du développement durable et de l'aménagement du territoire | ",""
"PA841621","M.","Evrard","Auguste","Pas-de-Calais","8","Rassemblement National","auguste.evrard@assemblee-nationale.fr","","@Au_Evrard","auguste.evrard62","","Membre  de la Commission du développement durable et de l'aménagement du territoire | Secrétaire d'âge de l'Assemblée nationale",""
"PA794658","M.","Fait","Philippe","Pas-de-Calais","4","Ensemble pour la République","philippe.fait@assemblee-nationale.fr","","","","Boulevard Lefèbvre, Centre AIFOR, 62630 Etaples sur mer","Membre  de la Commission des affaires culturelles et de l'éducation | ",""
"PA793246","M.","Falcon","Frédéric","Aude","2","Rassemblement National","frederic.falcon@assemblee-nationale.fr","falcondepute.fr","","","5, Quai Vallière 11100 Narbonne","Membre  de la Commission des affaires économiques | ",""
"PA605694","M.","Falorni","Olivier","Charente-Maritime","1","Les Démocrates","olivier.falorni@assemblee-nationale.fr","olivierfalorni.fr","@OlivierFalorni","olivierfalorni","12 Ter, Rue Villeneuve 17000 La Rochelle - Tél: 05 46 07 34 00","Membre  de la Commission des affaires sociales | ",""
"PA721896","Mme","Faucillon","Elsa","Hauts-de-Seine","1","Gauche Démocrate et Républicaine","elsa.faucillon@assemblee-nationale.fr","www.elsa-faucillon.fr","@elsafaucillon","elsafaucillondeputee","","Membre  de la Commission des lois constitutionnelles, de la législation et de l'administration générale de la République | ",""
"PA609332","M.","Faure","Olivier","Seine-et-Marne","11","Socialistes et apparentés","olivierfaure.depute77.11e@gmail.com|olivier.faure@assemblee-nationale.fr","www.olivierfaure.fr","@faureolivier","olivierfaure77"," 77550 Moissy-Cramayel","Membre  de la Commission des affaires étrangères | ",""
"PA267042","M.","Favennec-Bécot","Yannick","Mayenne","3","Libertés, Indépendants, Outre-mer et Territoires","favennec.yannick@wanadoo.fr|yannick.favennec@assemblee-nationale.fr","www.favennecactualite.com","@yfavennec","","4, Place du 9 juin, 53100 Mayenne - Tél: 02 43 30 29 60","Membre  de la Commission de la défense nationale et des forces armées | ",""
"PA840773","M.","Fayssat","Olivier","Bouches-du-Rhône","6","UDR","olivier.fayssat@assemblee-nationale.fr","","@OlivierFayssat","Olivier Fayssat","","Membre  de la Commission des affaires sociales | ",""
"PA841665","M.","Fégné","Denis","Hautes-Pyrénées","2","Socialistes et apparentés","denis.fegne@assemblee-nationale.fr|permanencedenisfegne@gmail.com","","","","22, Place du Marché Brauhauban 65000 Tarbes - Tél: 06 85 83 14 03","Membre  de la Commission du développement durable et de l'aménagement du territoire | ",""
"PA841251","Mme","Feld","Mathilde","Gironde","12","La France insoumise - Nouveau Front Populaire","mathilde.feld@assemblee-nationale.fr","","","","","Membre  de la Commission des affaires sociales | ",""
"PA794786","M.","Fernandes","Emmanuel","Bas-Rhin","2","La France insoumise - Nouveau Front Populaire","emmanuel.fernandes@assemblee-nationale.fr","emmanuel-fernandes.fr","@emmanfernandes","fernandesnupes2022","11, Rue de la Canardière 67100 Strasbourg - Tél: 0392016429","Membre  de la Commission de la défense nationale et des forces armées | ",""
"PA795120","Mme","Ferrari","Marina","Savoie","1","Les Démocrates","marina.ferrari@assemblee-nationale.fr","","@Marina_Ferrari","marina.ferrari.940","213, Avenue Marie de Solms 73100 Aix-les-Bains - Tél: 06.62.67.84.54 - Tél: 09.54.55.90.61","Membre  de la Commission des finances, de l'économie générale et du contrôle budgétaire | ",""
"PA794870","Mme","Ferrer","Sylvie","Hautes-Pyrénées","1","La France insoumise - Nouveau Front Populaire","sylvie.ferrer@assemblee-nationale.fr","","@FerrerSylvie11","SylvieFerrerInsoumise65","20, Place de Strasbourg 65200 Bagnères-de-Bigorre","Membre  de la Commission des affaires sociales | ",""
